fichier,simulateur_type,has_sticky_banner,has_faq_schema,has_verbalized_legend,has_officiel_link,backend_chiffre_kept,h1_unchanged,action_done
blog\departements\frais-notaire-89.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-90.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-91.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-92.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-93.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-94.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-95.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-971.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-972.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-973.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-974.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-975.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\departements\frais-notaire-976.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\export-pdf-calculateurs.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
blog\frais-notaire-ancien-neuf-2026.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
