fichier,simulateur_type,has_sticky_banner,has_faq_schema,has_verbalized_legend,has_officiel_link,backend_chiffre_kept,h1_unchanged,action_done
pret\mensualite-de-pret-immobilier-comment-l-estimer.html,PRET,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation PRET
pret\quel-salaire-pour-emprunter-300-000\index.html,PRET,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation PRET
pret\quel-salaire-pour-emprunter-300-000.html,PRET,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation PRET
pret.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
prime-activite.html,PRIME,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation PRIME
rsa\index.html,RSA,OUI,OUI,OUI,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation RSA
rsa\rsa-auto-entrepreneur\index.html,PLUSVALUE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation PLUSVALUE
rsa\rsa-auto-entrepreneur.html,PLUSVALUE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation PLUSVALUE
rsa.html,RSA,OUI,OUI,OUI,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation RSA
salaire\calcul-salaire-brut-net\index.html,SALAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation SALAIRE
salaire\calcul-salaire-brut-net.html,SALAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation SALAIRE
salaire\index.html,SALAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation SALAIRE
salaire-seo.html,SALAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation SALAIRE
salaire.html,SALAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation SALAIRE
simulateurs\index.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
simulateurs.html,APL,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation APL
sources.html,NOTAIRE,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation NOTAIRE
taxe\index.html,IMPOT,OUI,OUI,NON,OUI,OUI,OUI,Bandeau YMYL + FAQ schema + verbalisation IMPOT
